State,Player,From,To,Pos,GP,G,A,PTS,#ERROR!,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
California,Rhett Rakhshani,2011,2012,RW,7,0,0,0,-1,2,,,,,,,Orange,1988-03-06,
California,David Roberts,1994,1998,LW,125,20,33,53,5,85,,,,,,,Alameda,1970-05-28,
California,Jason Robertson,2020,2021,LW,39,12,18,30,12,10,,,,,,,Arcadia,1999-07-22,
California,Chad Ruhwedel,2013,2021,D,186,7,20,27,-1,58,,,,,,,San Diego,1990-05-07,
California,Kerby Rychel,2015,2019,LW,43,3,11,14,5,19,,,,,,,Torrance,1994-10-07,
California,Brian Salcido,2009,2009,D,2,0,1,1,2,0,,,,,,,Los Angeles,1985-04-14,
California,Roy Sommer,1981,1981,LW/C,3,1,0,1,0,7,,,,,,,Oakland,1957-04-05,
California,Garrett Stafford,2008,2011,D,7,0,2,2,0,0,,,,,,,Los Angeles,1980-01-28,
California,Brett Sterling,2008,2012,LW,30,5,4,9,-5,32,,,,,,,Los Angeles,1984-04-24,
California,Jeremy Stevenson,1996,2006,LW,207,19,19,38,-6,451,,,,,,,San Bernardino,1974-07-28,
California,Stephen Tepper,1993,1993,RW,1,0,0,0,0,0,,,,,,,Santa Ana,1969-03-10,
California,Casey Wellman,2010,2014,C,54,6,10,16,-4,4,,,,,,,Brentwood,1987-10-18,
California,Rik Wilson,1982,1988,D,251,25,65,90,0,220,,,,,,,Long Beach,1962-06-17,2016-01-22
California,Jason Zucker,2012,2021,LW,495,144,121,265,12,183,,,,,,,Newport Beach,1992-01-16,
Colorado,Ben Bishop,2009,2020,G,413,0,12,12,0,34,413,222,128,36,0.921,2.32,Denver,1986-11-21,
Colorado,Brandon Carlo,2017,2021,D,320,14,40,54,58,194,,,,,,,Colorado Springs,1996-11-26,
Colorado,Mat Clark,2012,2015,D,9,0,1,1,0,6,,,,,,,Lakewood,1990-10-17,
Colorado,B.J. Crombeen,2008,2015,RW,445,34,46,80,-37,850,,,,,,,Denver,1985-07-10,
Colorado,Parris Duffus,1997,1997,G,1,0,0,0,0,0,1,0,0,0,0.875,2.08,Denver,1970-01-27,
Colorado,Mike Eaves,1979,1985,C,324,83,143,226,24,80,,,,,,,Denver,1956-06-10,
Colorado,Callan Foote,2021,2021,D,34,1,2,3,8,25,,,,,,,Denver,1998-12-13,
Colorado,John Grahame,2000,2008,G,224,0,9,9,0,51,224,97,86,18,0.898,2.78,Denver,1975-08-31,
Colorado,David Hale,2004,2011,D,327,4,25,29,11,242,,,,,,,Colorado Springs,1981-06-18,
Colorado,Ben Holmstrom,2011,2012,C,7,0,0,0,-1,7,,,,,,,Colorado Springs,1987-04-09,
Colorado,Brendan Lemieux,2018,2021,LW,167,21,23,44,-6,299,,,,,,,Denver,1996-03-15,
Colorado,Joe Noris,1972,1974,C/D,55,2,5,7,-13,22,,,,,,,Denver,1951-10-26,
Colorado,Drew Shore,2013,2021,C,95,9,17,26,-20,30,,,,,,,Denver,1991-01-29,
Colorado,Nick Shore,2015,2020,C,299,18,41,59,-14,98,,,,,,,Denver,1992-09-26,
Colorado,Jaccob Slavin,2016,2021,D,415,30,132,162,65,60,,,,,,,Denver,1994-05-01,
Colorado,Troy Terry,2018,2021,C/RW,117,15,29,44,4,20,,,,,,,Denver,1997-09-10,
Connecticut,Mark Arcobello,2013,2016,RW,139,24,29,53,-17,28,,,,,,,Milford,1988-08-12,
Connecticut,Cam Atkinson,2012,2021,RW,615,212,184,396,24,146,,,,,,,Riverside,1989-06-05,
Connecticut,Frank Beisler,1937,1940,D,2,0,0,0,,0,,,,,,,New Haven,1913-10-18,1973-09-08
Connecticut,Richard Bittner,1950,1950,G,1,0,0,0,,0,1,0,0,1,,3,New Haven,1922-01-12,2002-03-24
Connecticut,Eric Boguniecki,2000,2007,C,178,34,42,76,14,105,,,,,,,New Haven,1975-05-06,
Connecticut,Nick Bonino,2010,2021,C,666,127,167,294,67,197,,,,,,,Hartford,1988-04-20,
Connecticut,Greg Brown,1991,1995,D,94,4,14,18,-23,86,,,,,,,Hartford,1968-03-07,
Connecticut,Chris Clark,2000,2011,RW,607,103,111,214,-48,700,,,,,,,South Windsor,1976-03-08,
Connecticut,Kevin Colley,2006,2006,C,16,0,0,0,-2,52,,,,,,,New Haven,1979-01-04,
Connecticut,Chris Corrinet,2002,2002,RW,8,0,1,1,-4,6,,,,,,,Derby,1978-10-29,
Connecticut,Tommy Cross,2016,2016,D,3,0,1,1,-1,0,,,,,,,Hartford,1989-09-12,
Connecticut,Matt DelGuidice,1991,1992,G,11,0,0,0,0,2,11,2,5,1,0.886,3.87,West Haven,1967-03-05,
Connecticut,Chris Drury,1999,2011,C,892,255,360,615,-6,468,,,,,,,Trumbull,1976-08-20,
Connecticut,Justin Duberman,1994,1994,RW,4,0,0,0,0,0,,,,,,,New Haven,1970-03-23,
Connecticut,Adam Erne,2017,2021,LW,206,26,23,49,-26,116,,,,,,,New Haven,1995-04-20,
Connecticut,Ron Hainsey,2003,2020,D,1132,59,252,311,-21,443,,,,,,,Bolton,1981-03-24,
Connecticut,Matt Hussey,2004,2007,C,21,2,2,4,-6,2,,,,,,,New Haven,1979-05-28,
Connecticut,Craig Janney,1988,1999,C,760,188,563,751,-13,170,,,,,,,Hartford,1967-09-26,
Connecticut,Keegan Lowe,2015,2018,D,4,0,0,0,-3,10,,,,,,,Greenwich,1993-03-29,
Connecticut,Lane MacDermid,2012,2014,LW,21,2,2,4,0,36,,,,,,,Hartford,1989-08-25,
Connecticut,Matt Martin,1994,1997,D,76,0,5,5,-11,71,,,,,,,Hamden,1971-04-30,
Connecticut,Marquis Mathieu,1999,2001,C,16,0,2,2,-3,14,,,,,,,Hartford,1973-05-31,
Connecticut,Colin McDonald,2010,2017,RW,148,20,26,46,-24,73,,,,,,,New Haven,1984-09-30,
Connecticut,Max Pacioretty,2009,2021,LW,803,301,293,594,55,429,,,,,,,New Canaan,1988-11-20,
Connecticut,Michael Paliotta,2015,2016,D,2,0,1,1,0,4,,,,,,,Westport,1993-04-06,
Connecticut,Jonathan Quick,2008,2021,G,663,0,19,19,0,58,663,333,249,69,0.913,2.41,Milford,1986-01-21,
Connecticut,Moe Roberts,1926,1952,G,10,0,0,0,,0,10,3,5,0,,3.71,Waterbury,1905-12-13,1975-02-05
Connecticut,Ryan Shannon,2007,2012,C,305,35,64,99,-24,90,,,,,,,Darien,1983-03-02,
Connecticut,Jaime Sifers,2009,2010,D,37,0,2,2,-3,24,,,,,,,Stratford,1983-01-18,
Connecticut,Brian Sullivan,1993,1993,RW,2,0,1,1,-1,0,,,,,,,South Windsor,1969-04-23,
Connecticut,Colin Wilson,2010,2020,C,632,113,173,286,32,138,,,,,,,Greenwich,1989-10-20,
Connecticut,Chris Winnes,1992,1994,RW,33,1,6,7,-4,6,,,,,,,Ridgefield,1968-02-12,
Florida,Ryan Carpenter,2016,2021,C,236,23,34,57,-14,68,,,,,,,Oviedo,1991-01-18,
Florida,Jakob Chychrun,2017,2021,D,278,41,69,110,-24,163,,,,,,,Boca Raton,1998-03-31,
Florida,Dallas Eakins,1993,2002,D,120,0,9,9,6,208,,,,,,,Dade City,1967-02-27,
Florida,Brian Ferlin,2015,2015,RW,7,0,1,1,0,0,,,,,,,Jacksonville,1992-06-03,
Florida,Blake Geoffrion,2011,2012,C,55,8,5,13,3,34,,,,,,,Plantation,1988-02-03,
Florida,Shayne Gostisbehere,2015,2021,D,372,59,155,214,-31,127,,,,,,,Pembroke Pines,1993-04-20,
Florida,Dan Hinote,2000,2009,RW,503,38,52,90,-16,383,,,,,,,Leesburg,1977-01-30,
Florida,Jack Hughes,2020,2021,C,102,16,26,42,-28,10,,,,,,,Orlando,2001-05-14,
Florida,Quinn Hughes,2019,2021,D,110,10,74,84,-27,38,,,,,,,Orlando,1999-10-14,
Florida,Val James,1982,1987,LW,11,0,0,0,-1,30,,,,,,,Ocala,1957-02-14,
Florida,Jaycob Megna,2017,2019,D,43,1,4,5,-4,14,,,,,,,Plantation,1992-12-10,
Florida,Jayson Megna,2014,2021,C,125,10,10,20,-7,30,,,,,,,Fort Lauderdale,1990-02-01,
Florida,Andrew Peeke,2020,2021,D,28,1,4,5,-2,4,,,,,,,Parkland,1998-03-17,
Illinois,Conor Allen,2014,2015,D,7,0,0,0,-2,4,,,,,,,Chicago,1990-01-31,
Illinois,Craig Anderson,2003,2021,G,650,0,18,18,0,54,650,290,252,69,0.913,2.84,Park Ridge,1981-05-21,
Illinois,Bates Battaglia,1998,2008,LW,580,80,118,198,-34,385,,,,,,,Chicago,1975-12-13,
Illinois,Louis Belpedio,2018,2021,D,4,0,2,2,0,0,,,,,,,Skokie,1996-05-14,
Illinois,Bubba Berenzweig,2000,2003,D,37,3,7,10,-4,14,,,,,,,Arlington Heights,1977-08-08,
Illinois,Alex Broadhurst,2018,2018,C,2,0,0,0,0,2,,,,,,,New Lenox,1993-03-07,
Illinois,Mike Brown,2008,2016,RW,407,19,17,36,-36,778,,,,,,,Chicago,1985-06-24,
Illinois,Connor Carrick,2014,2021,D,231,12,35,47,-22,152,,,,,,,Orland Park,1994-04-13,
Illinois,Chris Chelios*,1984,2010,D,1651,185,763,948,351,2891,,,,,,,Chicago,1962-01-25,
Illinois,Gerald Coleman,2006,2006,G,2,0,0,0,0,0,2,0,0,1,0.882,2.77,Romeoville,1985-04-03,
Illinois,J.T. Compher,2017,2021,LW,258,49,54,103,-22,92,,,,,,,Northbrook,1995-04-08,
Illinois,Joe Corvo,2003,2014,D,708,92,218,310,25,241,,,,,,,Oak Park,1977-06-20,
Illinois,Shawn Cronin,1989,1995,D,292,3,18,21,-35,877,,,,,,,Joliet,1963-08-20,
Illinois,Joe Day,1992,1994,C,72,1,10,11,-17,87,,,,,,,Chicago,1968-05-11,
Illinois,Thomas Di Pauli,2020,2020,C,2,0,0,0,-3,10,,,,,,,Woodbridge,1994-04-29,
Illinois,Christian Dvorak,2017,2021,C,290,62,76,138,-14,70,,,,,,,Palos,1996-02-02,
Illinois,Ryan Dzingel,2016,2021,C,361,82,97,179,-14,147,,,,,,,Wheaton,1992-03-09,
Illinois,Robbie Earl,2008,2011,LW,47,6,1,7,-4,6,,,,,,,Chicago,1985-06-02,
Illinois,Brian Fahey,2011,2011,D,7,0,1,1,-1,2,,,,,,,Des Plaines,1981-03-02,
Illinois,Tom Fergus,1982,1993,C,726,235,346,581,-20,499,,,,,,,Chicago,1962-06-16,
Illinois,Christian Fischer,2017,2021,RW,253,35,32,67,-38,61,,,,,,,Chicago,1997-04-15,
Illinois,Lee Fogolin,1975,1987,D,924,44,194,238,181,1318,,,,,,,Chicago,1955-02-07,
Illinois,Tony Granato,1989,2001,RW,773,248,244,492,44,1425,,,,,,,Downers Grove,1964-07-25,
Illinois,Bob Hall,1926,1926,F,8,0,0,0,,0,,,,,,,Oak Park,1899-10-13,1950-12-03
Illinois,John Hayden,2017,2021,C,176,11,17,28,-19,195,,,,,,,Chicago,1995-02-14,
Illinois,Vinnie Hinostroza,2016,2021,C,259,34,68,102,-2,61,,,,,,,Chicago,1994-04-03,
Illinois,Andrew Hutchinson,2004,2011,D,140,12,27,39,-13,70,,,,,,,Evanston,1980-03-24,
Illinois,Ivan Irwin,1953,1958,D,155,2,27,29,,214,,,,,,,Chicago,1927-03-13,2019-02-11
Illinois,Bob Janecyk,1984,1989,G,111,0,4,4,0,46,111,44,47,13,0.867,4.15,Chicago,1957-05-18,
Illinois,Matt Jones,2006,2008,D,106,1,10,11,-27,63,,,,,,,Downers Grove,1983-08-08,
Illinois,Todd Krygier,1990,1998,LW,543,100,143,243,-26,533,,,,,,,Chicago Heights,1965-10-12,
Illinois,Tanner Laczynski,2021,2021,C,4,0,0,0,1,0,,,,,,,Minooka,1997-06-01,
Illinois,Nick Lappin,2017,2019,RW,60,5,3,8,-21,21,,,,,,,Geneva,1992-11-01,
Illinois,Peter Lappin,1990,1992,RW,7,0,0,0,-5,2,,,,,,,St. Charles,1965-12-31,
Illinois,Mark LaVarre,1986,1988,RW,78,9,16,25,2,58,,,,,,,Evanston,1965-02-21,
Illinois,Brett Lebda,2006,2012,D,397,20,56,76,16,229,,,,,,,Buffalo Grove,1982-01-15,
Illinois,Matt Lindblad,2014,2015,C,4,0,0,0,0,0,,,,,,,Evanston,1990-03-23,
Illinois,Chris Lipuma,1993,1997,D,72,0,9,9,-5,146,,,,,,,Bridgeview,1971-03-23,
Illinois,Connor Mackey,2021,2021,D,3,0,1,1,1,6,,,,,,,Tower Lakes,1996-09-12,
Illinois,Josh Manson,2015,2021,D,403,22,80,102,43,369,,,,,,,Hinsdale,1991-10-07,
Illinois,Stefan Matteau,2013,2021,LW,82,6,5,11,-15,39,,,,,,,Chicago,1994-02-23,
Illinois,Dakota Mermis,2018,2021,D,22,1,3,4,9,4,,,,,,,Alton,1994-01-05,
Illinois,Michael Mersch,2016,2016,LW,17,1,2,3,1,0,,,,,,,Park Ridge,1992-10-02,
Illinois,Al Montoya,2009,2018,G,169,0,5,5,0,12,168,67,49,24,0.908,2.65,Chicago,1985-02-13,
Illinois,John Moore,2011,2021,D,537,38,79,117,-37,223,,,,,,,Winnetka,1990-11-19,
Illinois,Scott Morrow,1995,1995,LW,4,0,0,0,0,0,,,,,,,Chicago,1969-06-18,
Illinois,Harry Mummery,1918,1923,D,106,32,20,52,,225,4,2,1,0,,6.3,Chicago,1889-08-25,1945-12-09
Illinois,Gregg Naumenko,2001,2001,G,2,0,0,0,0,2,2,0,1,0,0.759,5.99,Chicago,1977-03-30,
Illinois,Mike O'Connell,1978,1990,D,860,105,335,440,41,605,,,,,,,Chicago,1955-11-25,
Illinois,Ed Olczyk,1985,2000,C,1031,342,452,794,-65,874,,,,,,,Chicago,1966-08-16,
Illinois,Tom Preissing,2004,2010,D,326,31,101,132,46,78,,,,,,,Arlington Heights,1978-12-03,
Illinois,Brogan Rafferty,2019,2021,D,3,0,1,1,-2,0,,,,,,,Dundee,1995-05-28,
Illinois,Greg Rallo,2012,2013,C,11,1,0,1,-5,2,,,,,,,Gurnee,1981-08-26,
Illinois,Mike Reilly,2016,2021,D,245,8,64,72,-17,94,,,,,,,Chicago,1993-07-13,
Illinois,Todd Reirden,1999,2004,D,183,11,35,46,-14,181,,,,,,,Deerfield,1971-06-25,
Illinois,Danny Richmond,2006,2008,D,49,0,3,3,-12,75,,,,,,,Chicago,1984-08-01,
Illinois,Steve Richmond,1984,1989,D,159,4,23,27,-37,514,,,,,,,Chicago,1959-12-11,
Illinois,Jeff Rohlicek,1988,1989,C,9,0,0,0,-4,8,,,,,,,Park Ridge,1966-01-27,
Illinois,Mike Rucinski,1989,1989,C,1,0,0,0,0,0,,,,,,,Wheeling,1963-12-12,
Illinois,Robbie Russo,2017,2017,D,19,0,0,0,2,2,,,,,,,Westmont,1993-02-15,
Illinois,Blake Sloan,1999,2004,RW,290,11,32,43,-17,162,,,,,,,Park Ridge,1975-07-27,
Illinois,Garret Sparks,2016,2020,G,38,0,0,0,0,0,38,14,18,2,0.897,3.1,Elmhurst,1993-06-28,
Illinois,Tim Stapleton,2009,2012,C,118,19,18,37,-14,24,,,,,,,La Grange,1982-07-09,
Illinois,Bill Sweatt,2012,2013,LW,3,0,0,0,-1,0,,,,,,,Elburn,1988-09-21,
Illinois,Lee Sweatt,2011,2011,D,3,1,1,2,4,2,,,,,,,Elburn,1985-08-13,
Illinois,Ryan Thang,2012,2012,LW,1,0,0,0,0,0,,,,,,,Chicago,1987-05-11,
Illinois,Nikos Tselios,2002,2002,D,2,0,0,0,-2,6,,,,,,,Oak Park,1979-01-20,
Illinois,T.J. Tynan,2017,2020,C,19,0,1,1,-2,2,,,,,,,Orland Park,1992-02-25,
Illinois,Dennis Vaske,1991,1999,D,235,5,41,46,31,253,,,,,,,Rockford,1967-10-11,
Illinois,Tommy Wingels,2011,2018,C,448,62,81,143,-39,254,,,,,,,Evanston,1988-04-12,
Illinois,Andy Wozniewski,2006,2010,D,79,2,10,12,-4,81,,,,,,,Buffalo Grove,1980-05-25,
Illinois,Rick Zombo,1985,1996,D,652,24,130,154,22,728,,,,,,,Des Plaines,1963-05-08,
Indiana,Drake Batherson,2019,2021,C,87,19,25,44,-31,25,,,,,,,Fort Wayne,1998-04-27,
Indiana,Donald Brashear,1994,2010,LW,1025,85,120,205,-93,2634,,,,,,,Bedford,1972-01-07,
Indiana,Jack Johnson,2007,2021,D,950,71,232,303,-119,529,,,,,,,Indianapolis,1987-01-13,
Indiana,Ken Klee,1995,2009,D,934,55,140,195,30,880,,,,,,,Indianapolis,1971-04-24,
Indiana,Fred Knipscheer,1994,1996,C,28,6,3,9,4,18,,,,,,,Ft. Wayne,1969-09-03,
Indiana,John-Michael Liles,2004,2017,D,836,87,283,370,-44,286,,,,,,,Indianapolis,1980-11-25,
Indiana,Dale Purinton,2000,2004,D,181,4,16,20,-3,578,,,,,,,Fort Wayne,1976-10-11,
Indiana,Cameron Schilling,2013,2019,D,10,0,1,1,-2,4,,,,,,,Carmel,1988-10-07,
Indiana,Zach Trotman,2014,2020,D,91,3,10,13,1,30,,,,,,,Carmel,1990-08-26,
Indiana,Alfie Turcotte,1984,1991,C,112,17,29,46,-22,49,,,,,,,Gary,1965-06-05,
Iowa,Scott Clemmensen,2002,2015,G,191,0,3,3,0,4,191,73,59,24,0.905,2.79,Des Moines,1977-07-23,
Iowa,Calvin Petersen,2019,2021,G,43,0,1,1,0,0,43,17,18,5,0.92,2.69,Waterloo,1994-10-19,
Iowa,Tucker Poolman,2018,2021,D,110,5,14,19,6,26,,,,,,,Dubuque,1993-06-08,
Iowa,C.J. Smith,2017,2021,LW,14,2,1,3,-1,0,,,,,,,Des Moines,1994-12-01,
Maine,Danny Bolduc,1979,1984,LW,102,22,19,41,-22,33,,,,,,,Waterville,1953-04-06,
Maine,Jon DiSalvatore,2006,2012,RW,6,0,0,0,-1,4,,,,,,,Bangor,1981-03-30,
Maine,Brian Dumoulin,2014,2021,D,374,13,78,91,68,102,,,,,,,Biddeford,1991-09-06,
Maine,Doug Friedman,1998,1999,LW,18,0,1,1,0,34,,,,,,,Cape Elizabeth,1971-09-01,
Maine,Garnet Hathaway,2016,2021,RW,284,29,41,70,30,338,,,,,,,Kennebunkport,1991-11-23,
Maine,Jeff Libby,1998,1998,D,1,0,0,0,0,0,,,,,,,Waterville,1974-03-01,
Maine,Greg Moore,2008,2010,RW,10,0,0,0,-2,0,,,,,,,Lisbon,1984-03-26,
Maine,Oliver Wahlstrom,2020,2021,RW,42,9,7,16,2,23,,,,,,,Portland,2000-06-13,
Massachusetts,Fred Ahern,1975,1978,RW,146,31,30,61,-47,130,,,,,,,Boston,1952-02-12,
Massachusetts,John Aiken,1958,1958,G,1,0,0,0,,0,1,0,1,0,0.667,10.67,Arlington,1932-01-01,
Massachusetts,Bobby Allen,2003,2008,D,51,0,3,3,-3,12,,,,,,,Weymouth,1978-11-14,
Massachusetts,Tony Amonte,1992,2007,RW,1174,416,484,900,96,752,,,,,,,Hingham,1970-08-02,
Massachusetts,Bill Arnold,2014,2014,C,1,0,0,0,-1,0,,,,,,,Boston,1992-05-13,
Massachusetts,Keith Aucoin,2006,2014,C,145,17,32,49,3,22,,,,,,,Waltham,1978-11-06,
Massachusetts,Steve Baker,1980,1983,G,57,0,0,0,0,7,57,20,20,11,0.872,3.71,Boston,1957-05-06,
Massachusetts,Tom Barrasso,1984,2003,G,777,0,48,48,0,437,777,369,277,86,0.892,3.24,Boston,1965-03-31,
Massachusetts,Ed Barry,1947,1947,LW,19,1,3,4,,2,,,,,,,Wellesley,1919-10-12,2016-02-12
Massachusetts,Ray Barry,1952,1952,C,18,1,2,3,,6,,,,,,,Boston,1928-10-04,
Massachusetts,Shawn Bates,1998,2008,C,465,72,126,198,-28,266,,,,,,,Melrose,1975-04-03,
Massachusetts,Blake Bellefeuille,2002,2003,C,5,0,1,1,1,0,,,,,,,Framingham,1977-12-27,
Massachusetts,Rick Bennett,1990,1992,LW,15,1,1,2,-6,13,,,,,,,Springfield,1967-07-24,
Massachusetts,Pete Bessone,1938,1938,D,6,0,1,1,,6,,,,,,,New Bedford,1913-01-13,1989-12-05
Massachusetts,Colin Blackwell,2019,2021,C,66,15,12,27,10,18,,,,,,,Lawrence,1993-03-28,
Massachusetts,Chris Bourque,2008,2013,LW,51,2,6,8,-12,18,,,,,,,Boston,1986-01-29,
Massachusetts,Phil Bourque,1984,1996,LW,477,88,111,199,-64,516,,,,,,,Chelmsford,1962-06-08,
Massachusetts,Ryan Bourque,2015,2015,C,1,0,0,0,-1,0,,,,,,,Boxford,1991-01-03,
Massachusetts,Brian Boyle,2008,2020,C,805,130,101,231,-48,588,,,,,,,Hingham,1984-12-18,
Massachusetts,Andy Brickley,1983,1994,LW/C,385,82,140,222,-20,81,,,,,,,Melrose,1961-08-09,
Massachusetts,Connor Brickley,2016,2019,C,81,6,15,21,-2,42,,,,,,,Everett,1992-02-25,
Massachusetts,Bob Brooke,1984,1990,C,447,69,97,166,-43,520,,,,,,,Melrose,1960-12-18,
Massachusetts,Doug Brown,1987,2001,RW,854,160,214,374,112,210,,,,,,,Southborough,1964-06-12,
Massachusetts,Gary Burns,1981,1981,LW/C,11,2,2,4,-9,18,,,,,,,Cambridge,1955-01-16,
Massachusetts,Bobby Butler,2010,2014,RW,130,20,29,49,-16,28,,,,,,,Marlborough,1987-04-26,
Massachusetts,Joe Callahan,2009,2011,D,46,0,4,4,5,16,,,,,,,Brockton,1982-12-20,
Massachusetts,Jim Campbell,1996,2006,RW,285,61,75,136,-11,268,,,,,,,Worcester,1973-02-03,
Massachusetts,Dom Campedelli,1986,1986,D,2,0,0,0,-2,0,,,,,,,Cohasset,1964-04-03,
